Strain,AHL,Final AHL,Well #,fluorescence 1,OD600 1,bg subtracted,normalized,fluorescence 2,OD600 2,bg subtracted 2,normalized 2
1,1.00E-02,9.90E-05,1,0.838,0.808630815,0.571,0.7061318829,0.759,0.968035665,0.566,0.5846892015
1,1.00E-03,9.90E-06,2,0.934,0.753525764,0.667,0.8851721227,0.923,0.929838807,0.73,0.7850823116
1,1.00E-04,9.90E-07,3,0.859,0.811182209,0.592,0.7297990432,0.711,0.943681856,0.518,0.5489138068
1,1.00E-05,9.90E-08,4,0.787,0.757883537,0.52,0.6861212503,0.937,0.948889776,0.744,0.7840742084
1,1.00E-06,9.90E-09,5,0.939,0.808792769,0.672,0.8308679624,0.711,0.963791081,0.518,0.5374608774
1,1.00E-07,9.90E-10,6,0.934,1.01164398,0.667,0.6593228578,0.808,1.017240399,0.615,0.6045768538
1,1.00E-08,9.90E-11,7,0.5,0.914258129,0.233,0.2548514392,0.596,1.088615325,0.403,0.3701950457
1,1.00E-09,9.90E-12,8,0.412,1.035924154,0.145,0.1399716373,0.247,1.091217235,0.054,0.04948602191
1,1.00E-10,9.90E-13,9,0.286,1.032564227,0.019,0.01840079242,0.179,1.100426966,-0.014,-0.01272233454
1,0.00E+00,0.00E+00,10,0.267,1.033150186,0,0,0.193,1.124124721,0,0
,,,,,,,,,,,
2,1.00E-02,9.90E-05,1,0.589,0.9331653,0.391,0.4190040071,0.465,1.064395183,0.329,0.3090957243
2,1.00E-03,9.90E-06,2,0.723,0.976168632,0.525,0.5378169128,0.493,1.084927845,0.357,0.3290541409
2,1.00E-04,9.90E-07,3,0.7549,1.011146541,0.5569,0.5507609208,0.476,1.096588343,0.34,0.310052539
2,1.00E-05,9.90E-08,4,0.564,0.901508363,0.366,0.4059862504,0.45,1.091298005,0.314,0.287730756
2,1.00E-06,9.90E-09,5,0.355,0.915980871,0.157,0.1714009593,0.25,1.080824924,0.114,0.1054749918
2,1.00E-07,9.90E-10,6,0.194,0.939598191,-0.004,-0.00425713889,0.151,1.094622601,0.015,0.01370335309
2,1.00E-08,9.90E-11,7,0.188,0.957475046,-0.01,-0.01044413642,0.136,1.089930887,0,0
2,1.00E-09,9.90E-12,8,0.191,0.967920474,-0.007,-0.007231999103,0.133,1.075938463,-0.003,-0.002788263551
2,1.00E-10,9.90E-13,9,0.166,0.916405711,-0.032,-0.03491903162,0.135,1.077033118,-0.001,-0.0009284765559
2,0.00E+00,0.00E+00,10,0.198,0.96818019,0,0,0.136,1.084828127,0,0
,,,,,,,,,,,
3,1.00E-02,9.90E-05,1,0.703,1.05192089,0.458,0.4353939582,0.477,1.067096212,0.321,0.3008163616
3,1.00E-03,9.90E-06,2,0.378,0.771498619,0.133,0.1723917538,0.483,1.08101193,0.327,0.302494349
3,1.00E-04,9.90E-07,3,0.596,0.967034112,0.351,0.3629654793,0.488,1.084370654,0.332,0.306168374
3,1.00E-05,9.90E-08,4,0.602,0.967282004,0.357,0.3690754077,0.505,1.075166245,0.349,0.3246009644
3,1.00E-06,9.90E-09,5,0.736,1.05538001,0.491,0.4652352663,0.47,1.076917146,0.314,0.2915730343
3,1.00E-07,9.90E-10,6,0.503,1.050509863,0.258,0.2455950287,0.309,1.087996553,0.153,0.1406254455
3,1.00E-08,9.90E-11,7,0.28,1.069883245,0.035,0.03271385001,0.161,1.080531217,0.005,0.004627353584
3,1.00E-09,9.90E-12,8,0.261,1.057772914,0.016,0.01512611997,0.15,1.077440373,-0.006,-0.005568753641
3,1.00E-10,9.90E-13,9,0.255,1.061418297,0.01,0.009421356338,0.159,1.091868661,0.003,0.00274758321
3,0.00E+00,0.00E+00,10,0.245,1.041911992,0,0,0.156,1.082334584,0,0